image_id,manufacturer,family,variant
0868107,Canadair,CRJ-700,CRJ-700
0868108,de Havilland,Dash 8,DHC-8-300
0869644,Boeing,Boeing 747,747-100
0869684,Airbus,A300,A300B4
0869689,McDonnell Douglas,MD-11,MD-11
0869692,Boeing,Boeing 707,707-320
0869693,Lockheed Corporation,C-130,C-130
0869696,Lockheed Corporation,L-1011,L-1011
0869697,Boeing,Boeing 747,747-100
0869712,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0869717,Lockheed Corporation,L-1011,L-1011
0869721,Ilyushin,Il-76,Il-76
0869722,Boeing,Boeing 707,707-320
0869727,Boeing,Boeing 747,747-200
0869729,McDonnell Douglas,DC-10,DC-10
0869735,Airbus,A310,A310
0869739,Boeing,Boeing 707,707-320
0869742,Boeing,Boeing 707,707-320
0869743,Boeing,Boeing 747,747-200
0869956,Piper,PA-28,PA-28
0869979,Embraer,Embraer E-Jet,E-170
0870094,Fokker,Fokker 70,Fokker 70
0870126,Canadair,CRJ-200,CRJ-200
0870232,Boeing,Boeing 767,767-400
0870244,Boeing,Boeing 767,767-300
0870655,Douglas Aircraft Company,C-47,C-47
0870866,Airbus,A310,A310
0871198,McDonnell Douglas,MD-11,MD-11
0871496,McDonnell Douglas,F/A-18,F/A-18
0872249,Fokker,Fokker 70,Fokker 70
0872412,de Havilland,DH-82,DH-82
0872421,de Havilland,Dash 8,DHC-8-300
0872422,Fokker,Fokker 70,Fokker 70
0873946,Fairchild,Metroliner,Metroliner
0874281,McDonnell Douglas,F/A-18,F/A-18
0874688,Saab,Saab 2000,Saab 2000
0874829,ATR,ATR-42,ATR-42
0874832,Fairchild,Metroliner,Metroliner
0874951,McDonnell Douglas,MD-80,MD-87
0874976,McDonnell Douglas,F/A-18,F/A-18
0875281,Boeing,Boeing 727,727-200
0875283,McDonnell Douglas,MD-90,MD-90
0875300,Lockheed Corporation,L-1011,L-1011
0875303,Boeing,Boeing 737,737-200
0875308,Lockheed Corporation,L-1011,L-1011
0875309,McDonnell Douglas,MD-90,MD-90
0875317,Boeing,Boeing 727,727-200
0875323,McDonnell Douglas,MD-80,MD-80
0875327,de Havilland,DHC-6,DHC-6
0875337,Lockheed Corporation,C-130,C-130
0875344,Lockheed Corporation,C-130,C-130
0875346,McDonnell Douglas,DC-9,DC-9-30
0875351,Douglas Aircraft Company,DC-6,DC-6
0875356,de Havilland,DHC-6,DHC-6
0875360,Airbus,A300,A300B4
0875404,Lockheed Corporation,L-1011,L-1011
0875560,Boeing,Boeing 717,Boeing 717
0875563,Boeing,Boeing 737,737-800
0876439,Boeing,Boeing 747,747-300
0876440,Boeing,Boeing 737,737-500
0876574,Eurofighter,Eurofighter Typhoon,Eurofighter Typhoon
0876577,Supermarine,Spitfire,Spitfire
0877062,de Havilland,DHC-1,DHC-1
0877084,Panavia,Tornado,Tornado
0877086,Supermarine,Spitfire,Spitfire
0877087,Beechcraft,King Air,Model B200
0877089,Eurofighter,Eurofighter Typhoon,Eurofighter Typhoon
0877674,de Havilland,DH-82,DH-82
0877683,British Aerospace,Hawk T1,Hawk T1
0878583,Antonov,An-12,An-12
0879141,Fokker,Fokker 100,Fokker 100
0879367,Piper,PA-28,PA-28
0879882,Douglas Aircraft Company,C-47,C-47
0879883,Douglas Aircraft Company,DC-3,DC-3
0879887,de Havilland,DHC-6,DHC-6
0879888,Douglas Aircraft Company,C-47,C-47
0879889,de Havilland,DHC-6,DHC-6
0879892,Boeing,Boeing 727,727-200
0879893,Tupolev,Tu-154,Tu-154
0880060,Supermarine,Spitfire,Spitfire
0880062,Airbus,A300,A300B4
0880063,Panavia,Tornado,Tornado
0880309,Canadair,CRJ-200,CRJ-200
0880314,Bombardier Aerospace,Global Express,Global Express
0880533,British Aerospace,Hawk T1,Hawk T1
0880559,Saab,Saab 2000,Saab 2000
0880566,Tupolev,Tu-134,Tu-134
0880568,McDonnell Douglas,MD-80,MD-87
0880570,Boeing,Boeing 747,747-100
0880572,McDonnell Douglas,DC-10,DC-10
0880573,Boeing,Boeing 747,747-200
0880574,Lockheed Corporation,L-1011,L-1011
0880575,Douglas Aircraft Company,DC-8,DC-8
0880576,Boeing,Boeing 747,747-300
0880579,Lockheed Corporation,C-130,C-130
0880582,Cessna,Cessna Citation,Cessna 560
0880585,Boeing,Boeing 747,747-100
0880590,Fairchild,Metroliner,Metroliner
0880592,Douglas Aircraft Company,DC-8,DC-8
0880593,Boeing,Boeing 737,737-200
0880595,Embraer,EMB-120,EMB-120
0880598,McDonnell Douglas,MD-11,MD-11
0881386,Embraer,EMB-120,EMB-120
0881964,Supermarine,Spitfire,Spitfire
0881971,Supermarine,Spitfire,Spitfire
0881972,Supermarine,Spitfire,Spitfire
0882609,Boeing,Boeing 737,737-300
0882696,Supermarine,Spitfire,Spitfire
0883339,Lockheed Corporation,C-130,C-130
0883341,Lockheed Corporation,C-130,C-130
0884477,Airbus,A340,A340-200
0885090,Airbus,A340,A340-300
0885092,Boeing,Boeing 777,777-300
0885174,Antonov,An-12,An-12
0885277,Boeing,Boeing 747,747-200
0885288,de Havilland,DH-82,DH-82
0885290,McDonnell Douglas,F/A-18,F/A-18
0885552,Boeing,Boeing 717,Boeing 717
0885590,Piper,PA-28,PA-28
0885597,de Havilland,Dash 8,DHC-8-300
0885622,Airbus,A340,A340-500
0885624,Embraer,EMB-120,EMB-120
0885966,Boeing,Boeing 747,747-200
0886623,Canadair,CRJ-700,CRJ-700
0887066,Boeing,Boeing 707,707-320
0888030,Canadair,CRJ-700,CRJ-700
0888512,Boeing,Boeing 747,747-400
0890198,Boeing,Boeing 777,777-200
0890355,Lockheed Martin,F-16,F-16A/B
0890396,Boeing,Boeing 737,737-600
0890438,McDonnell Douglas,F/A-18,F/A-18
0890439,Lockheed Corporation,C-130,C-130
0890450,Cessna,Cessna Citation,Cessna 560
0890461,Canadair,CRJ-700,CRJ-900
0890644,Cessna,Cessna 172,Cessna 172
0890662,British Aerospace,BAE 146,BAE 146-300
0890795,Fokker,Fokker 100,Fokker 100
0890827,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0890939,British Aerospace,BAE 146,BAE 146-300
0890965,Saab,Saab 2000,Saab 2000
0891418,Lockheed Corporation,C-130,C-130
0891419,Panavia,Tornado,Tornado
0891448,British Aerospace,BAE 146,BAE 146-200
0892223,Fokker,Fokker 50,Fokker 50
0892227,Airbus,A340,A340-300
0892229,Boeing,Boeing 767,767-200
0893717,British Aerospace,Hawk T1,Hawk T1
0894021,Boeing,Boeing 777,777-200
0894166,Boeing,Boeing 747,747-300
0894169,McDonnell Douglas,MD-11,MD-11
0894188,Boeing,Boeing 737,737-500
0894189,Boeing,Boeing 737,737-300
0894203,Airbus,A310,A310
0894205,Tupolev,Tu-134,Tu-134
0894206,British Aerospace,BAE 146,BAE 146-300
0894208,Boeing,Boeing 747,747-300
0894211,McDonnell Douglas,MD-11,MD-11
0894213,McDonnell Douglas,DC-10,DC-10
0894219,Boeing,Boeing 737,737-300
0894220,Boeing,Boeing 737,737-500
0894240,Boeing,Boeing 747,747-400
0894309,British Aerospace,BAE 146,BAE 146-200
0894311,Tupolev,Tu-154,Tu-154
0894313,Boeing,Boeing 767,767-200
0894315,Boeing,Boeing 737,737-200
0894316,Boeing,Boeing 747,747-200
0894317,McDonnell Douglas,DC-10,DC-10
0894319,Boeing,Boeing 737,737-200
0894321,McDonnell Douglas,DC-10,DC-10
0894324,Airbus,A320,A320
0894325,British Aerospace,BAE 146,BAE 146-200
0894379,Antonov,An-12,An-12
0894380,Boeing,Boeing 707,707-320
0894381,Boeing,Boeing 707,707-320
0894382,Airbus,A300,A300B4
0894384,McDonnell Douglas,MD-11,MD-11
0894385,Boeing,Boeing 747,747-300
0894387,Airbus,A310,A310
0894406,Boeing,Boeing 777,777-200
0895159,Ilyushin,Il-76,Il-76
0895165,Boeing,Boeing 707,707-320
0895290,McDonnell Douglas,DC-10,DC-10
0895308,Lockheed Martin,F-16,F-16A/B
0895309,Lockheed Martin,F-16,F-16A/B
0895456,British Aerospace,BAE 146,BAE 146-200
0895892,Canadair,CRJ-200,CRJ-200
0896106,Cessna,Cessna 172,Cessna 172
0896575,Airbus,A340,A340-500
0896698,McDonnell Douglas,F/A-18,F/A-18
0896699,Lockheed Martin,F-16,F-16A/B
0897300,Airbus,A340,A340-200
0897305,Embraer,EMB-120,EMB-120
0897884,Boeing,Boeing 777,777-300
0900469,Boeing,Boeing 737,737-800
0900486,Fokker,Fokker 100,Fokker 100
0900488,Embraer,Embraer Legacy 600,Embraer Legacy 600
0901141,Airbus,A340,A340-200
0901157,Fokker,Fokker 70,Fokker 70
0901350,McDonnell Douglas,DC-9,DC-9-30
0901358,Boeing,Boeing 767,767-300
0901363,McDonnell Douglas,DC-10,DC-10
0901364,Tupolev,Tu-154,Tu-154
0901367,Airbus,A300,A300B4
0901369,McDonnell Douglas,DC-10,DC-10
0901370,ATR,ATR-42,ATR-42
0901374,Airbus,A300,A300B4
0901375,Antonov,An-12,An-12
0901378,McDonnell Douglas,MD-11,MD-11
0901380,Airbus,A340,A340-200
0901456,Douglas Aircraft Company,DC-8,DC-8
0901457,Douglas Aircraft Company,DC-8,DC-8
0901458,Douglas Aircraft Company,DC-8,DC-8
0901460,Douglas Aircraft Company,DC-8,DC-8
0901473,Cessna,Cessna Citation,Cessna 560
0901474,Douglas Aircraft Company,DC-8,DC-8
0901496,McDonnell Douglas,DC-9,DC-9-30
0901498,Boeing,Boeing 707,707-320
0901500,Lockheed Corporation,L-1011,L-1011
0901504,Boeing,Boeing 727,727-200
0901506,Airbus,A300,A300B4
0901509,Yakovlev,Yak-42,Yak-42
0901512,Yakovlev,Yak-42,Yak-42
0901513,Boeing,Boeing 747,747-100
0901514,Airbus,A310,A310
0901515,Fokker,Fokker 50,Fokker 50
0901516,Airbus,A300,A300B4
0901518,McDonnell Douglas,DC-9,DC-9-30
0901521,Boeing,Boeing 727,727-200
0901522,Lockheed Corporation,L-1011,L-1011
0901529,Lockheed Corporation,L-1011,L-1011
0901533,Douglas Aircraft Company,DC-6,DC-6
0902147,Ilyushin,Il-76,Il-76
0902418,Boeing,Boeing 757,757-200
0902419,Supermarine,Spitfire,Spitfire
0903057,British Aerospace,Hawk T1,Hawk T1
0903124,Boeing,Boeing 757,757-200
0903308,Airbus,A310,A310
0903658,Boeing,Boeing 757,757-300
0903662,Tupolev,Tu-154,Tu-154
0903776,Airbus,A320,A321
0904850,Boeing,Boeing 737,737-600
0904858,Boeing,Boeing 767,767-400
0905077,Boeing,Boeing 767,767-400
0905078,Embraer,Embraer E-Jet,E-170
0905532,Airbus,A320,A318
0905853,Canadair,Challenger 600,Challenger 600
0905907,Boeing,Boeing 737,737-600
0906211,Airbus,A340,A340-300
0906979,Yakovlev,Yak-42,Yak-42
0907287,Embraer,Embraer ERJ 145,ERJ 135
0907298,Embraer,Embraer E-Jet,E-170
0907301,Embraer,Embraer ERJ 145,ERJ 145
0907304,ATR,ATR-72,ATR-72
0907347,Fokker,Fokker 100,Fokker 100
0907348,Lockheed Corporation,L-1011,L-1011
0907357,Boeing,Boeing 737,737-300
0907358,Boeing,Boeing 737,737-200
0907359,Boeing,Boeing 727,727-200
0907363,de Havilland,Dash 8,DHC-8-100
0907364,Boeing,Boeing 727,727-200
0907365,Fairchild,Metroliner,Metroliner
0907367,McDonnell Douglas,DC-9,DC-9-30
0907370,Boeing,Boeing 727,727-200
0907373,Cessna,Cessna Citation,Cessna 560
0907375,Boeing,Boeing 767,767-200
0907378,Boeing,Boeing 727,727-200
0907380,McDonnell Douglas,DC-9,DC-9-30
0907383,Airbus,A320,A320
0907384,Boeing,Boeing 727,727-200
0907389,Lockheed Corporation,L-1011,L-1011
0907390,Airbus,A300,A300B4
0907391,Lockheed Corporation,L-1011,L-1011
0907402,Yakovlev,Yak-42,Yak-42
0907404,Tupolev,Tu-154,Tu-154
0907405,Boeing,Boeing 727,727-200
0907407,Boeing,Boeing 767,767-200
0907408,Boeing,Boeing 737,737-300
0907410,Tupolev,Tu-134,Tu-134
0907419,Tupolev,Tu-134,Tu-134
0907425,Fairchild,Metroliner,Metroliner
0907429,Boeing,Boeing 737,737-200
0907431,Boeing,Boeing 767,767-300
0907432,Boeing,Boeing 767,767-300
0907433,Boeing,Boeing 727,727-200
0907436,McDonnell Douglas,DC-9,DC-9-30
0907437,Canadair,CRJ-200,CRJ-200
0907752,Boeing,Boeing 737,737-600
0908026,Dornier,Dornier 328,Dornier 328
0908027,de Havilland,DHC-6,DHC-6
0908588,Boeing,Boeing 767,767-200
0908591,Dornier,Dornier 328,Dornier 328
0908594,de Havilland,DH-82,DH-82
0908596,Boeing,Boeing 767,767-200
0909293,Lockheed Corporation,L-1011,L-1011
0909665,Embraer,Embraer ERJ 145,ERJ 135
0909855,Dornier,Dornier 328,Dornier 328
0909856,Canadair,Challenger 600,Challenger 600
0910816,Dornier,Dornier 328,Dornier 328
0911010,Lockheed Corporation,C-130,C-130
0911624,Fokker,Fokker 50,Fokker 50
0911625,Embraer,EMB-120,EMB-120
0911710,de Havilland,DH-82,DH-82
0911713,de Havilland,DHC-1,DHC-1
0912143,Fokker,Fokker 100,Fokker 100
0912525,Supermarine,Spitfire,Spitfire
0912693,Boeing,Boeing 737,737-500
0912833,Embraer,Embraer E-Jet,E-170
0913417,British Aerospace,BAE-125,BAE-125
0913620,de Havilland,DHC-6,DHC-6
0913627,Airbus,A340,A340-200
0913940,Gulfstream Aerospace,Gulfstream,Gulfstream V
0913985,Ilyushin,Il-76,Il-76
0914134,Canadair,CRJ-700,CRJ-700
0914475,Boeing,Boeing 757,757-300
0914477,de Havilland,DH-82,DH-82
0914555,Gulfstream Aerospace,Gulfstream,Gulfstream V
0916246,Canadair,CRJ-200,CRJ-200
0916252,Embraer,EMB-120,EMB-120
0916254,McDonnell Douglas,MD-11,MD-11
0917341,Canadair,CRJ-700,CRJ-700
0917345,British Aerospace,BAE-125,BAE-125
0917347,Boeing,Boeing 717,Boeing 717
0917357,Dornier,Dornier 328,Dornier 328
0917396,Saab,Saab 340,Saab 340
0917712,British Aerospace,BAE 146,BAE 146-300
0917793,Dornier,Dornier 328,Dornier 328
0918179,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0918184,Airbus,A340,A340-200
0918557,Boeing,Boeing 717,Boeing 717
0918624,Boeing,Boeing 717,Boeing 717
0918627,McDonnell Douglas,MD-80,MD-80
0918628,McDonnell Douglas,MD-90,MD-90
0918727,Antonov,An-12,An-12
0918736,British Aerospace,BAE 146,BAE 146-300
0920052,Saab,Saab 2000,Saab 2000
0920409,Boeing,Boeing 727,727-200
0920415,Tupolev,Tu-154,Tu-154
0920416,British Aerospace,BAE 146,BAE 146-200
0920417,ATR,ATR-42,ATR-42
0920420,Tupolev,Tu-134,Tu-134
0920421,Antonov,An-12,An-12
0920422,Douglas Aircraft Company,DC-6,DC-6
0920469,Lockheed Martin,F-16,F-16A/B
0920945,Douglas Aircraft Company,DC-6,DC-6
0920946,Ilyushin,Il-76,Il-76
0920951,Antonov,An-12,An-12
0921022,Boeing,Boeing 737,737-200
0921023,Douglas Aircraft Company,DC-8,DC-8
0921024,McDonnell Douglas,MD-80,MD-80
0921181,Boeing,Boeing 757,757-200
0921289,Tupolev,Tu-134,Tu-134
0921743,Canadair,CRJ-200,CRJ-200
0921760,Fairchild,Metroliner,Metroliner
0921761,ATR,ATR-42,ATR-42
0921924,ATR,ATR-72,ATR-72
0921985,Dornier,Dornier 328,Dornier 328
0921998,Embraer,EMB-120,EMB-120
0922520,Saab,Saab 2000,Saab 2000
0922626,British Aerospace,BAE 146,BAE 146-200
0922639,British Aerospace,BAE 146,BAE 146-200
0922754,Canadair,CRJ-200,CRJ-200
0922757,Bombardier Aerospace,Global Express,Global Express
0923270,de Havilland,DHC-6,DHC-6
0923416,Bombardier Aerospace,Global Express,Global Express
0923417,McDonnell Douglas,DC-9,DC-9-30
0923499,Yakovlev,Yak-42,Yak-42
0923501,Fokker,Fokker 50,Fokker 50
0923502,Airbus,A310,A310
0923503,McDonnell Douglas,MD-80,MD-80
0923504,Boeing,Boeing 737,737-400
0923506,Boeing,Boeing 737,737-200
0923507,Boeing,Boeing 727,727-200
0923532,Airbus,A320,A320
0923548,McDonnell Douglas,DC-9,DC-9-30
0923550,McDonnell Douglas,DC-10,DC-10
0923557,British Aerospace,BAE 146,BAE 146-200
0923560,Boeing,Boeing 737,737-400
0923562,Dornier,Dornier 328,Dornier 328
0923566,Lockheed Corporation,L-1011,L-1011
0923571,Boeing,Boeing 757,757-200
0923572,British Aerospace,BAE 146,BAE 146-300
0923673,Boeing,Boeing 737,737-200
0923708,British Aerospace,BAE 146,BAE 146-200
0923710,Airbus,A300,A300B4
0923714,Tupolev,Tu-134,Tu-134
0923715,McDonnell Douglas,MD-80,MD-80
0923717,Lockheed Corporation,L-1011,L-1011
0923718,ATR,ATR-72,ATR-72
0923766,Saab,Saab 2000,Saab 2000
0923884,Boeing,Boeing 707,707-320
0923888,Airbus,A320,A318
0924085,Saab,Saab 340,Saab 340
0924092,McDonnell Douglas,MD-80,MD-87
0924100,Canadair,CRJ-700,CRJ-700
0924311,Airbus,A300,A300B4
0924404,Boeing,Boeing 757,757-300
0924405,Boeing,Boeing 757,757-300
0924608,Tupolev,Tu-134,Tu-134
0925056,Lockheed Martin,F-16,F-16A/B
0925061,Eurofighter,Eurofighter Typhoon,Eurofighter Typhoon
0925498,Embraer,Embraer ERJ 145,ERJ 145
0925499,Dornier,Dornier 328,Dornier 328
0925865,Airbus,A320,A319
0926105,Boeing,Boeing 747,747-100
0926108,McDonnell Douglas,MD-80,MD-80
0926148,Airbus,A310,A310
0926152,British Aerospace,BAE-125,BAE-125
0927368,Airbus,A340,A340-500
0927430,Embraer,Embraer E-Jet,E-170
0927431,Dassault Aviation,Falcon 2000,Falcon 2000
0927837,Fokker,Fokker 50,Fokker 50
0928043,Boeing,Boeing 737,737-600
0928322,Embraer,Embraer ERJ 145,ERJ 145
0928613,Canadair,CRJ-200,CRJ-200
0928680,de Havilland,DHC-1,DHC-1
0928792,Boeing,Boeing 747,747-200
0929568,Boeing,Boeing 747,747-400
0929790,McDonnell Douglas,MD-80,MD-80
0929800,Canadair,CRJ-700,CRJ-700
0930240,de Havilland,DHC-1,DHC-1
0930260,Supermarine,Spitfire,Spitfire
0930261,Beechcraft,King Air,Model B200
0931107,Airbus,A300,A300B4
0931109,ATR,ATR-72,ATR-72
0931601,Boeing,Boeing 737,737-600
0931734,Boeing,Boeing 767,767-400
0931743,Canadair,CRJ-700,CRJ-700
0931966,Embraer,Embraer ERJ 145,ERJ 145
0932478,McDonnell Douglas,MD-90,MD-90
0933127,Boeing,Boeing 737,737-400
0934118,British Aerospace,Hawk T1,Hawk T1
0934119,British Aerospace,Hawk T1,Hawk T1
0934120,British Aerospace,Hawk T1,Hawk T1
0934121,Lockheed Martin,F-16,F-16A/B
0934703,Airbus,A310,A310
0934705,Airbus,A320,A318
0934710,British Aerospace,BAE 146,BAE 146-200
0935015,British Aerospace,Hawk T1,Hawk T1
0935016,British Aerospace,Hawk T1,Hawk T1
0935361,Beechcraft,Beechcraft 1900,Beechcraft 1900
0935983,Airbus,A340,A340-500
0936086,Boeing,Boeing 767,767-400
0936094,Airbus,A340,A340-500
0936107,Embraer,EMB-120,EMB-120
0936113,Saab,Saab 2000,Saab 2000
0936117,Tupolev,Tu-154,Tu-154
0936118,Airbus,A340,A340-500
0936133,Airbus,A320,A321
0936143,Boeing,Boeing 737,737-900
0936156,Saab,Saab 340,Saab 340
0936618,British Aerospace,BAE 146,BAE 146-300
0936623,Saab,Saab 2000,Saab 2000
0936782,Boeing,Boeing 767,767-200
0936826,Saab,Saab 2000,Saab 2000
0939480,Boeing,Boeing 707,707-320
0939483,Tupolev,Tu-154,Tu-154
0939484,Embraer,Embraer Legacy 600,Embraer Legacy 600
0939485,Airbus,A300,A300B4
0939486,Saab,Saab 2000,Saab 2000
0939487,Saab,Saab 2000,Saab 2000
0939497,Boeing,Boeing 747,747-300
0939501,Airbus,A340,A340-200
0939503,Airbus,A320,A319
0939509,Beechcraft,Beechcraft 1900,Beechcraft 1900
0939510,Lockheed Corporation,C-130,C-130
0939518,ATR,ATR-42,ATR-42
0939519,Embraer,Embraer E-Jet,E-195
0939537,Boeing,Boeing 737,737-400
0939541,Airbus,A320,A318
0939544,McDonnell Douglas,MD-80,MD-80
0939547,Boeing,Boeing 747,747-200
0939548,Airbus,A340,A340-200
0939563,Boeing,Boeing 767,767-300
0939568,Boeing,Boeing 737,737-400
0939577,Fokker,Fokker 50,Fokker 50
0939579,Boeing,Boeing 777,777-200
0939580,Airbus,A380,A380
0939607,Boeing,Boeing 727,727-200
0939608,Airbus,A320,A321
0939614,British Aerospace,BAE-125,BAE-125
0939993,Boeing,Boeing 777,777-300
0940358,Boeing,Boeing 767,767-400
0940709,Supermarine,Spitfire,Spitfire
0940910,Supermarine,Spitfire,Spitfire
0941235,Canadair,CRJ-700,CRJ-700
0941858,Boeing,Boeing 777,777-200
0942001,Boeing,Boeing 737,737-500
0942162,British Aerospace,BAE 146,BAE 146-300
0942394,de Havilland,Dash 8,DHC-8-100
0942395,Canadair,CRJ-200,CRJ-200
0942763,Airbus,A340,A340-300
0943962,Dornier,Dornier 328,Dornier 328
0944156,Boeing,Boeing 747,747-100
0944161,Douglas Aircraft Company,C-47,C-47
0944166,Boeing,Boeing 737,737-300
0944174,Fokker,Fokker 100,Fokker 100
0944175,Tupolev,Tu-134,Tu-134
0944176,Yakovlev,Yak-42,Yak-42
0944182,Yakovlev,Yak-42,Yak-42
0944208,Boeing,Boeing 717,Boeing 717
0944221,Airbus,A340,A340-300
0944239,Yakovlev,Yak-42,Yak-42
0944240,Tupolev,Tu-154,Tu-154
0944241,Tupolev,Tu-134,Tu-134
0944244,Fairchild,Metroliner,Metroliner
0944245,Boeing,Boeing 737,737-800
0944247,Boeing,Boeing 737,737-500
0944253,Boeing,Boeing 737,737-600
0944254,McDonnell Douglas,MD-80,MD-80
0944257,Boeing,Boeing 737,737-500
0944357,Airbus,A340,A340-200
0944751,British Aerospace,BAE-125,BAE-125
0944920,Dassault Aviation,Falcon 900,Falcon 900
0944945,McDonnell Douglas,MD-11,MD-11
0944994,Embraer,Embraer E-Jet,E-170
0944995,McDonnell Douglas,MD-80,MD-87
0945011,Fokker,Fokker 50,Fokker 50
0945365,Dassault Aviation,Falcon 2000,Falcon 2000
0945368,Ilyushin,Il-76,Il-76
0945369,Fokker,Fokker 50,Fokker 50
0946093,Boeing,Boeing 747,747-400
0946798,Boeing,Boeing 747,747-300
0947462,Airbus,A310,A310
0948003,Dassault Aviation,Falcon 2000,Falcon 2000
0948007,Lockheed Martin,F-16,F-16A/B
0948344,Boeing,Boeing 747,747-300
0948666,Tupolev,Tu-134,Tu-134
0949750,de Havilland,Dash 8,DHC-8-100
0949944,Airbus,A340,A340-300
0949946,Airbus,A310,A310
0950056,Ilyushin,Il-76,Il-76
0950117,McDonnell Douglas,MD-11,MD-11
0950119,Airbus,A340,A340-200
0950275,Boeing,Boeing 737,737-200
0950305,Embraer,Embraer ERJ 145,ERJ 145
0950326,Airbus,A340,A340-200
0950331,McDonnell Douglas,MD-11,MD-11
0950339,Airbus,A330,A330-200
0950401,Boeing,Boeing 747,747-300
0950402,Fokker,Fokker 100,Fokker 100
0950428,McDonnell Douglas,MD-80,MD-80
0950429,Douglas Aircraft Company,DC-6,DC-6
0950435,Airbus,A340,A340-200
0950436,McDonnell Douglas,MD-80,MD-80
0950440,British Aerospace,BAE 146,BAE 146-200
0950442,Boeing,Boeing 757,757-300
0950562,Douglas Aircraft Company,DC-6,DC-6
0950991,Boeing,Boeing 707,707-320
0951126,Cessna,Cessna Citation,Cessna 560
0951982,Boeing,Boeing 707,707-320
0952377,Fokker,Fokker 50,Fokker 50
0952519,ATR,ATR-72,ATR-72
0952726,Douglas Aircraft Company,C-47,C-47
0953094,Boeing,Boeing 767,767-200
0953521,Airbus,A320,A320
0953525,Douglas Aircraft Company,C-47,C-47
0953559,Boeing,Boeing 737,737-300
0953561,Fokker,Fokker 50,Fokker 50
0953562,Beechcraft,King Air,Model B200
0955444,McDonnell Douglas,MD-80,MD-80
0955449,Canadair,CRJ-700,CRJ-700
0955450,Boeing,Boeing 767,767-200
0955770,Fokker,Fokker 70,Fokker 70
0956171,Boeing,Boeing 737,737-700
0956231,Boeing,Boeing 767,767-300
0956273,Boeing,Boeing 737,737-600
0956798,Douglas Aircraft Company,DC-8,DC-8
0956802,Douglas Aircraft Company,DC-6,DC-6
0957050,McDonnell Douglas,MD-80,MD-87
0957225,British Aerospace,BAE 146,BAE 146-200
0957883,Airbus,A320,A319
0957893,Boeing,Boeing 757,757-300
0957896,Boeing,Boeing 737,737-800
0957899,Airbus,A320,A320
0957905,ATR,ATR-72,ATR-72
0957980,Beechcraft,Beechcraft 1900,Beechcraft 1900
0957983,Boeing,Boeing 737,737-700
0958065,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0958066,Tupolev,Tu-134,Tu-134
0958070,ATR,ATR-42,ATR-42
0958085,Lockheed Corporation,C-130,C-130
0958089,Yakovlev,Yak-42,Yak-42
0958129,Boeing,Boeing 767,767-200
0958138,Boeing,Boeing 717,Boeing 717
0958196,Lockheed Corporation,L-1011,L-1011
0958304,Embraer,Embraer ERJ 145,ERJ 145
0958484,Canadair,CRJ-200,CRJ-200
0958520,Dornier,Dornier 328,Dornier 328
0958618,Fokker,Fokker 100,Fokker 100
0959047,Boeing,Boeing 737,737-600
0959053,British Aerospace,BAE 146,BAE 146-200
0959054,Dornier,Dornier 328,Dornier 328
0959085,Airbus,A340,A340-500
0959262,Airbus,A320,A319
0959265,Embraer,Embraer E-Jet,E-170
0959267,McDonnell Douglas,MD-11,MD-11
0959346,Boeing,Boeing 747,747-300
0959452,Airbus,A320,A320
0960091,Panavia,Tornado,Tornado
0960098,Saab,Saab 340,Saab 340
0960135,Boeing,Boeing 717,Boeing 717
0960175,Douglas Aircraft Company,DC-3,DC-3
0960998,de Havilland,DHC-1,DHC-1
0961452,Douglas Aircraft Company,C-47,C-47
0961750,Boeing,Boeing 737,737-600
0961756,Embraer,Embraer ERJ 145,ERJ 135
0961819,Airbus,A340,A340-200
0961972,British Aerospace,Hawk T1,Hawk T1
0962110,Airbus,A380,A380
0962152,Airbus,A340,A340-500
0962576,Saab,Saab 2000,Saab 2000
0962633,Boeing,Boeing 717,Boeing 717
0962643,Embraer,Embraer E-Jet,E-170
0962825,Lockheed Corporation,C-130,C-130
0962871,Boeing,Boeing 717,Boeing 717
0962873,Boeing,Boeing 767,767-300
0962875,Boeing,Boeing 747,747-100
0962924,Airbus,A380,A380
0963004,Boeing,Boeing 747,747-200
0963485,Lockheed Corporation,C-130,C-130
0963590,Boeing,Boeing 747,747-300
0963959,Cessna,Cessna 208,Cessna 208
0963962,British Aerospace,BAE 146,BAE 146-300
0964235,Boeing,Boeing 747,747-400
0964344,Boeing,Boeing 747,747-200
0964904,Dornier,Dornier 328,Dornier 328
0965611,Boeing,Boeing 737,737-300
0965617,ATR,ATR-42,ATR-42
0965713,Gulfstream Aerospace,Gulfstream,Gulfstream V
0966109,British Aerospace,BAE 146,BAE 146-200
0966176,Airbus,A340,A340-300
0966761,Cirrus Aircraft,SR-20,SR-20
0967566,Airbus,A340,A340-500
0967804,British Aerospace,BAE 146,BAE 146-200
0967812,ATR,ATR-42,ATR-42
0967818,Yakovlev,Yak-42,Yak-42
0967830,ATR,ATR-42,ATR-42
0967831,Yakovlev,Yak-42,Yak-42
0967838,Lockheed Corporation,C-130,C-130
0967844,Fairchild,Metroliner,Metroliner
0967847,Douglas Aircraft Company,DC-8,DC-8
